Generation,Population,Temperature,Compa.No.,nObs,Intercept,Slope,InterceptbootCI1,InterceptbootCI2,slopetbootCI1,slopetbootCI2,A50,A50CI1,A50CI2,A95,A95CI1,A95CI2
2,HTC4,H,TANK1.1,25,-8.45566745,0.140639222,-183.5290702,-1.172861864,0.027204226,3.125670533,60.12311045,42.714538,68.09396354,81.0592259,59.50153513,144.9970853
2,HTC5,H,TANK3.2,25,-13.72791127,0.205703894,-212.7272926,-6.874151,0.100945466,3.195992926,66.73627335,61.0089308,72.97110382,81.05024149,66.74207136,98.19152801
2,HTC6,H,TANK6.3,25,-4.427730076,0.087387336,-147.1334277,2.071474979,-0.010937266,2.847291181,50.66786905,-57.89511192,127.5356397,84.36198455,-2.31869534,202.7141432
2,LTC1,L,TANK2.1,25,-31.17371926,0.448524221,-477.1974611,-18.66149457,0.269149962,6.857752061,69.50286691,66,73,76.06759371,66.98375192,81.52338652
2,LTC2,L,TANK4.2,25,-6.798561272,0.110896447,-24.03845107,-1.131886348,0.025850518,0.381228723,61.30549213,42.55198461,70.45520878,87.85673929,67.72449021,153.6580994
2,LTC3,L,TANK5.1,25,-12.02730376,0.176107846,-465.2519087,-4.80872392,0.071215965,6.702808846,68.29510467,60.99494991,73,85.01462654,69.98618044,111.6733209
3,HTC4,H,TANK1.1,25,-10.89526493,0.168871548,-205.9385277,-4.168534399,0.076253141,2.972501537,64.51806157,55.01245177,70.29902285,81.95403,70.71064728,97.59668051
3,HTC5,H,TANK3.2,25,-17.05563099,0.262458332,-447.6024194,-8.2124881,0.133167821,6.739276398,64.98414753,57.83812632,69.77632085,76.20283872,64.24254754,85.07866979
3,HTC6,H,TANK6.3,25,-10.03041335,0.144981203,-30.76800592,-4.194188698,0.060366831,0.450647049,69.18423297,60.89292422,76.21730361,89.49334139,74.01752756,119.435122
3,LTC1,L,TANK2.1,25,-15.36801005,0.212858531,-225.8770726,-8.815380466,0.120074136,3.047210693,72.19823416,66.65779686,77.44954106,86.03107876,71.23203407,97.61709107
3,LTC2,L,TANK4.2,25,-10.89526493,0.168871548,-179.2409502,-5.100507211,0.085177242,2.853202791,64.51806157,56.18054158,70.30644909,81.95403,68.55243614,95.8756543
3,LTC3,L,TANK5.1,25,-19.30874696,0.267676378,-503.195061,-10.5505879,0.148551613,6.834269165,72.13466905,67.62229283,76.87658268,83.13466464,71.30156395,93.50716532
4,HTC4,H,TANK1.1,30,-23.58267895,0.349121248,-405.151912,-15.73397999,0.23640067,5.871745776,67.54867847,64.6153153,72.85357449,75.98253632,65.60145383,81.7201098
4,HTC5,H,TANK3.2,30,-9.556157741,0.141185084,-25.25304538,-4.711656141,0.069926248,0.38167139,67.68532108,61.3560828,74.80611069,88.54049145,72.46671428,111.9133807
4,HTC6,H,TANK6.3,30,-12.66879503,0.175447355,-194.2807592,-7.868533508,0.110062419,2.663877819,72.20852671,65.44661004,79.02325661,88.99099103,73.95000224,102.0255929
4,LTC1,L,TANK2.1,30,-11.03963792,0.136629573,-29.52603013,-6.303475352,0.069193406,0.393838047,80.79976911,73.65388771,96.26840694,102.3502938,82.38422188,133.7508647
4,LTC2,L,TANK4.2,30,-19.20241354,0.271976339,-409.3938936,-10.97542013,0.157522064,5.928980873,70.6032502,65.57561148,74.06427545,81.42933524,69.60794158,88.5716677
4,LTC3,L,TANK5.1,30,-8.020456733,0.113018706,-23.11283377,-3.286126938,0.046605812,0.311558831,70.96574534,61.28690693,78.96986074,97.01841462,81.18698778,132.9200602
5,HTC4,H,TANK1.1,25,-15.30234846,0.235738556,-473.0356229,-7.658629288,0.128816239,6.801595843,64.91237046,57.29665825,69.52268957,77.40264373,66.90334509,84.38223773
5,HTC5,H,TANK3.2,25,-10.24816649,0.156033981,-192.7224554,-3.67216583,0.067598474,2.852447725,65.67906838,52.76088741,72.6820013,84.54956675,72.30244375,100.4169123
