Population,Week,feed_rate,Generation,Temperature,Feed rate per fish,ave.weight of population,Feed rate per gram
HTC4,1,8.077,Gen6,H,0.05144586,0.23,0.223677652
HTC4,10,5.259,Gen6,H,0.131475,0.6811,0.193033328
HTC4,11,6.6614,Gen6,H,0.166535,0.7073,0.235451718
HTC4,12,5.259,Gen6,H,0.131475,0.7075,0.185830389
HTC4,2,12.4378,Gen6,H,0.079221656,0.29695,0.266784496
HTC4,3,20.4912,Gen6,H,0.130517197,0.42005,0.310718242
HTC4,4,15.8406,Gen6,H,0.100895541,0.4734,0.213129576
HTC4,5,16.7214,Gen6,H,0.106505732,0.50825,0.209553827
HTC4,9,6.6614,Gen6,H,0.166535,0.6138,0.271318019
HTC5,1,8.471,Gen6,H,0.076315315,0.2677,0.285077756
HTC5,10,5.6096,Gen6,H,0.143835897,1.1136,0.129162983
HTC5,11,5.259,Gen6,H,0.134846154,0.8892,0.151648846
HTC5,12,4.9084,Gen6,H,0.12585641,1.0804,0.116490569
HTC5,2,12.4378,Gen6,H,0.112052252,0.34835,0.321665716
HTC5,3,20.8418,Gen6,H,0.187763964,0.451,0.41632808
HTC5,4,13.1836,Gen6,H,0.118771171,0.48055,0.24715674
HTC5,5,13.8384,Gen6,H,0.12467027,0.6253,0.199376732
HTC5,9,5.9602,Gen6,H,0.152825641,0.8784,0.173981832
HTC6,1,7.683,Gen6,H,0.061464,0.25825,0.238001936
HTC6,10,5.6096,Gen6,H,0.143835897,0.7013,0.205098955
HTC6,11,6.6614,Gen6,H,0.170805128,0.7261,0.23523637
HTC6,12,5.6096,Gen6,H,0.143835897,0.7179,0.200356453
HTC6,2,11.4962,Gen6,H,0.0919696,0.2703,0.340250092
HTC6,3,15.2554,Gen6,H,0.1220432,0.40935,0.298139001
HTC6,4,10.5266,Gen6,H,0.0842128,0.4609,0.182713821
HTC6,5,11.532,Gen6,H,0.092256,0.52695,0.175075434
HTC6,9,5.9602,Gen6,H,0.152825641,0.719,0.212553047
LTC1,1,6.895,Gen6,L,0.02758,0.15195,0.181507075
LTC1,10,6.1355,Gen6,L,0.130542553,1.2307,0.106071791
LTC1,11,7.3626,Gen6,L,0.156651064,1.0425,0.150264809
LTC1,12,6.3108,Gen6,L,0.13427234,1.1789,0.113896294
LTC1,2,10.795,Gen6,L,0.04318,0.2424,0.178135314
LTC1,3,15.7306,Gen6,L,0.0629224,0.32695,0.192452669
LTC1,4,15.264,Gen6,L,0.061056,0.40335,0.151372257
LTC1,5,16.7214,Gen6,L,0.0668856,0.52485,0.127437554
LTC1,9,8.0638,Gen6,L,0.171570213,0.8875,0.19331855
LTC2,1,6.698,Gen6,L,0.026792,0.11495,0.23307525
LTC2,10,6.3108,Gen6,L,0.131475,0.9375,0.14024
LTC2,11,8.2391,Gen6,L,0.171647917,0.8639,0.198689567
LTC2,12,5.9602,Gen6,L,0.124170833,0.8589,0.144569605
LTC2,2,11.3426,Gen6,L,0.0453704,0.19135,0.237106872
LTC2,3,18.0602,Gen6,L,0.0722408,0.3371,0.214300801
LTC2,4,11.1032,Gen6,L,0.0444128,0.3877,0.114554552
LTC2,5,12.6852,Gen6,L,0.0507408,0.48035,0.105632976
LTC2,9,7.012,Gen6,L,0.146083333,0.8934,0.163513917
LTC3,1,7.289,Gen6,L,0.029156,0.1085,0.268718894
LTC3,10,5.4343,Gen6,L,0.139341026,0.9159,0.152135632
LTC3,11,7.5379,Gen6,L,0.193279487,0.9122,0.211882797
LTC3,12,5.9602,Gen6,L,0.152825641,0.9228,0.165610794
LTC3,2,10.9052,Gen6,L,0.0436208,0.22475,0.194085873
LTC3,3,16.1826,Gen6,L,0.0647304,0.26745,0.242028043
LTC3,4,13.7602,Gen6,L,0.0550408,0.41975,0.131127576
LTC3,5,14.9916,Gen6,L,0.0599664,0.5249,0.114243475
LTC3,9,6.6614,Gen6,L,0.170805128,0.8366,0.204165824
HTC4,1,8.077,Gen1,H,0.043896739,0.0664,0.661095469
HTC4,10,5.259,Gen1,H,0.128268293,0.9932,0.129146489
