Population,Generation,Stage,Size,Weight,MMR,SMR,Temperature,Chamber
LTC3,1,1,s,1.9,0.304107892,0.002702986,L,1
LTC3,1,1,s,1.112,0.199888287,0.026242998,L,2
LTC3,1,1,s,0.029,0.036273297,NA,L,3
LTC3,1,1,s,0.405,0.844650067,0.084726957,L,4
LTC3,1,1,m,0.801,0.220557894,0.109590322,L,5
LTC1,1,1,s,0.164,0.576888352,0.046198706,L,1
LTC1,1,1,s,0.219,1.002405319,0.112478515,L,2
LTC1,1,1,s,0.153,0.391124924,0.075959315,L,3
LTC1,1,1,s,0.075,0.211304001,0.059293433,L,4
LTC1,1,1,m,0.576,0.681558391,0.235108926,L,5
LTC1,2,1,s,0.127,0.30281756,0.057210247,L,1
LTC1,2,1,s,0.074,0.208320856,0.048696885,L,2
LTC1,2,1,s,0.192,0.31631756,0.092932512,L,3
LTC1,2,1,m,0.439,0.870873846,0.149406047,L,4
LTC1,2,1,m,0.655,1.323044744,0.191468523,L,5
LTC3,2,1,s,0.108,0.307580506,0.061675995,L,6
LTC3,2,1,s,0.17,0.468502748,0.052774883,L,7
LTC3,2,1,s,0.266,0.859996156,0.125728004,L,10
LTC3,2,1,m,0.723,1.749016441,0.216279319,L,11
LTC3,2,1,m,0.902,1.312692223,0.280693263,L,12
LTC1,1,2,l,0.551,0.950563097,0.214234377,L,1
LTC1,1,2,l,0.395,1.038473936,0.110545363,L,2
LTC1,1,2,l,0.201,0.465878819,0.07707759,L,3
LTC1,1,2,l,0.78,1.268953477,0.320920584,L,4
LTC1,1,2,l,0.769,0.192633018,0.215943316,L,5
LTC3,1,2,l,0.91,1.892362449,0.258366959,L,6
LTC3,1,2,l,0.591,1.395772068,0.219123449,L,7
LTC3,1,2,l,0.61,1.43855283,0.228418634,L,10
LTC3,1,2,l,0.379,1.086894969,0.127392526,L,11
LTC3,1,2,l,0.272,0.63784199,0.148431761,L,12
LTC1,2,2,m,0.415,0.629185507,0.177358397,L,1
LTC1,2,2,m,0.498,0.603257773,0.116136102,L,2
LTC1,2,2,m,0.556,0.98775289,0.228575771,L,3
LTC1,2,2,l,0.931,1.601252424,0.281481033,L,4
LTC1,2,2,l,1.027,1.722445247,0.347078208,L,5
LTC3,2,2,m,0.37,0.698405273,0.123413089,L,6
LTC3,2,2,m,0.544,1.393918945,0.161671063,L,7
LTC3,2,2,l,0.611,1.34006748,0.145868062,L,10
LTC3,2,2,l,1.269,1.9008,0.329152243,L,11
LTC3,2,2,l,1.307,2.354609619,0.35612675,L,12
LTC1,1,3,l,0.52,0.726429074,0.146858726,L,1
LTC1,1,3,l,0.754,1.562800217,0.223371422,L,2
LTC1,1,3,l,0.484,0.859484494,0.192597623,L,3
LTC1,1,3,l,0.936,1.664966477,0.291201885,L,4
LTC1,1,3,l,1.083,2.871964035,0.354516164,L,5
LTC3,1,3,l,0.53,0.856566242,0.165268743,L,6
LTC3,1,3,l,0.801,1.353156623,0.276961333,L,7
LTC3,1,3,l,0.381,0.706877082,0.130469409,L,10
LTC3,1,3,l,0.389,0.973002424,0.094858694,L,11
LTC3,1,3,l,1.04,3.006857844,0.278511779,L,12
LTC1,2,3,l,0.637,2.04218273,0.233580799,L,1
LTC1,2,3,l,0.912,1.795069448,0.239302379,L,2
LTC1,2,3,l,1.064,1.97090563,0.327152571,L,3
LTC1,2,3,l,1.472,2.377206851,0.412441934,L,4
LTC1,2,3,l,1.912,3.44402853,0.466776075,L,5
LTC3,2,3,l,0.562,1.337465435,0.165007032,L,6
LTC3,2,3,l,0.586,1.617846197,0.130872786,L,7
LTC3,2,3,l,0.58,0.962053375,0.235376072,L,10
LTC3,2,3,l,1.272,2.401937798,0.347139583,L,11
LTC3,2,3,l,1.429,2.534978716,0.44751912,L,12
HTC5,1,1,s,0.081,0.611179916,0.06204866,H,1
HTC5,1,1,s,0.152,0.40328453,0.085736481,H,2
HTC5,1,1,s,0.521,0.535041366,0.172885886,H,3
HTC5,1,1,s,0.182,0.440541366,0.103344339,H,4
HTC5,1,1,m,0.779,1.26117346,0.28581793,H,5
HTC4,1,1,s,0.055,0.172436754,0.014336141,H,1
HTC4,1,1,s,0.304,0.582838732,0.177426025,H,2
HTC4,1,1,s,0.17,0.552598864,0.07801644,H,3
HTC4,1,1,s,0.367,0.976500841,0.207587991,H,4
HTC4,1,1,m,0.638,1.411678024,0.19527647,H,5
HTC5,2,1,s,0.098,0.340898644,0.044210751,H,1
HTC5,2,1,s,0.138,0.241537194,0.034557713,H,2
HTC5,2,1,m,0.361,0.834180238,0.117781231,H,3
HTC5,2,1,m,0.477,0.91769391,0.145685655,H,4
HTC5,2,1,m,0.953,1.349702699,0.194138687,H,5
HTC4,2,1,s,0.249,0.974726747,0.115515631,H,1
HTC4,2,1,m,0.4,0.68551449,0.145824798,H,2
HTC4,2,1,m,0.575,1.167910974,0.21574687,H,3
HTC4,2,1,m,0.642,1.062793787,0.222712077,H,4
HTC4,2,1,m,0.997,1.247109216,0.356661624,H,5
HTC5,2,1,s,0.148,1.163865792,0.088774659,H,1
HTC5,2,1,s,0.126,0.631963815,0.054820588,H,2
HTC5,2,1,s,0.298,1.339362496,0.124510495,H,3
HTC5,2,1,m,0.411,0.966678246,0.117691505,H,4
HTC5,2,1,m,0.912,1.570038597,0.238940364,H,5
HTC5,1,2,l,0.436,1.273703551,0.233291052,H,1
HTC5,1,2,l,1.182,2.810997594,0.540185822,H,2
HTC5,1,2,l,0.343,0.710607213,0.081640789,H,3
HTC5,1,2,l,0.181,0.779505992,0.037211413,H,4
HTC5,1,2,l,0.621,1.851084313,0.169999929,H,5
HTC4,1,2,l,0.381,0.853781998,0.131589711,H,1
HTC4,1,2,l,0.98,2.241357877,0.400240726,H,2
HTC4,1,2,l,0.582,1.680625358,0.244416222,H,3
HTC4,1,2,l,0.801,1.960977116,0.358215558,H,4
HTC4,1,2,l,0.352,0.803880778,0.09734817,H,5
HTC5,2,2,m,0.345,0.507574884,0.109520641,H,1
HTC5,2,2,m,0.352,0.782619806,0.174957418,H,2
HTC5,2,2,l,0.589,1.117864818,0.180056259,H,3
HTC5,2,2,l,0.831,0.9254239,0.280886635,H,4
HTC5,2,2,l,0.79,1.386353978,0.299631135,H,5
HTC4,2,2,m,0.374,1.371249434,0.141143825,H,1
HTC4,2,2,m,0.444,1.466294356,0.141583581,H,2
HTC4,2,2,l,0.748,1.796874848,0.312522355,H,3
HTC4,2,2,l,0.96,1.385816987,0.331063932,H,4
HTC4,2,2,l,0.945,2.837564008,0.33856862,H,5
HTC5,1,3,l,0.447,1.236660484,0.180442967,H,1
HTC5,1,3,l,0.58,1.343583384,0.150710996,H,2
HTC5,1,3,l,1.068,2.885619566,0.364910556,H,3
HTC5,1,3,l,1.216,2.629007505,0.497803848,H,4
HTC5,1,3,l,0.455,0.134207505,0.167816536,H,5
HTC4,1,3,l,1.356,2.016652732,0.539902598,H,1
HTC4,1,3,l,0.528,0.788257542,0.205262129,H,2
HTC4,1,3,l,0.831,2.301782884,0.22641986,H,3
HTC4,1,3,l,0.59,1.170790061,0.242399416,H,4
HTC4,1,3,l,0.655,1.510556321,0.343642683,H,5
HTC4,2,3,l,0.706,3.194788615,0.281025018,H,1
HTC4,2,3,l,0.733,0.666721135,0.40434913,H,2
HTC4,2,3,l,1.134,2.774231975,0.440796719,H,3
HTC4,2,3,l,1.043,1.415152434,0.256357702,H,4
HTC4,2,3,l,1.479,8.944697014,0.542595142,H,5
LTC1,3,2,m,0.427,0.848699197,0.16158751,L,1
LTC1,3,2,m,0.45,0.760861306,0.174760273,L,2
LTC1,3,2,l,0.643,1.374221155,0.159625928,L,3
LTC1,3,2,l,0.759,1.595201917,0.215760259,L,4
LTC1,3,2,l,0.972,2.531331995,0.308331889,L,5
LTC3,3,2,m,0.48,0.706325141,0.105378532,L,6
LTC3,3,2,m,0.508,0.753830024,0.137148094,L,7
LTC3,3,2,m,0.52,0.748073188,0.171962465,L,10
LTC3,3,2,l,0.86,1.509944881,0.258644036,L,11
LTC3,3,2,l,0.848,1.286600301,0.297382966,L,12
HTC5,3,2,m,0.334,1.189266474,0.137786838,H,1
HTC5,3,2,m,0.3,0.680951044,0.100280025,H,2
HTC5,3,2,m,0.49,1.049581903,0.183570179,H,3
HTC5,3,2,l,0.841,0.938219759,0.173838156,H,4
HTC5,3,2,l,1.07,1.841125863,0.423238884,H,5
HTC4,3,2,m,0.434,1.543998119,0.16312705,H,1
HTC4,3,2,m,0.506,1.241601634,0.169694531,H,2
HTC4,3,2,m,0.504,0.93920515,0.06929119,H,3
HTC4,3,2,l,0.615,0.501849874,0.110961522,H,4
HTC4,3,2,l,0.864,2.024888497,0.294524346,H,5
LTC1,3,1,s,0.077,0.143879188,0.021930032,L,1
LTC1,3,1,s,0.081,0.203274574,0.051094317,L,2
LTC1,3,1,s,0.19,0.495956947,0.123478824,L,3
LTC1,3,1,s,0.225,0.627713783,0.110510056,L,4
LTC1,3,1,m,0.554,0.776795022,0.20306231,L,5
LTC3,3,1,s,0.054,0.319590382,0.030979195,L,6
LTC3,3,1,s,0.099,0.234269459,0.046707106,L,7
LTC3,3,1,s,0.168,0.544769459,0.154345791,L,10
LTC3,3,1,m,0.348,0.932880666,0.085100883,L,11
LTC3,3,1,m,0.335,0.60743926,0.186307654,L,12
HTC5,3,1,s,0.153,0.45665199,0.116473523,H,1
HTC5,3,1,m,0.379,0.853414421,0.119250605,H,2
HTC5,3,1,m,0.3,0.875009147,0.157963005,H,3
HTC5,3,1,m,0.288,0.798702507,0.085527208,H,4
HTC5,3,1,m,0.325,0.94557653,0.127480328,H,5
HTC4,3,1,s,0.123,0.344052384,0.112417892,H,1
HTC4,3,1,s,0.137,0.367819108,0.034224131,H,2
HTC4,3,1,m,0.234,0.462436891,0.07745615,H,3
HTC4,3,1,m,0.397,1.152193727,0.152818458,H,4
HTC4,3,1,m,0.396,0.868509157,0.161857149,H,5
LTC1,3,3,l,0.742,0.873477854,0.206667748,L,1
LTC1,3,3,l,0.77,1.776354954,0.198115812,L,2
LTC1,3,3,l,0.832,1.303518772,NA,L,3
LTC1,3,3,l,0.875,1.075446555,NA,L,4
LTC1,3,3,l,1.54,2.208803196,0.257119827,L,5
