Population,Temperature,Generation,Sample type,Weight,Sex,Gonad weight
HTC4,H,2,Wet,1.332,f,0.124
HTC4,H,2,Wet,1.31,f,0.19
LTC1,L,2,Wet,1.962,f,0.412
LTC1,L,2,Wet,1.535,f,0.236
HTC5,H,2,Wet,0.932,f,0.104
HTC5,H,2,Wet,1.08,f,0.116
LTC2,L,2,Wet,1.131,f,0.152
LTC3,L,2,Wet,1.115,f,0.124
HTC6,H,2,Wet,1.163,f,0.146
HTC4,H,3,Wet,1.051,f,0.074
HTC4,H,3,Wet,1.646,f,0.196
LTC1,L,3,Wet,1.606,f,0.484
LTC1,L,3,Wet,0.981,f,NA
LTC1,L,3,Wet,1.182,f,0.13
HTC5,H,3,Wet,0.919,f,0.124
LTC2,L,3,Wet,1.311,f,0.4
LTC3,L,3,Wet,1.29,f,0.146
HTC6,H,3,Wet,0.92,f,0.118
HTC6,H,3,Wet,1.095,f,0.238
HTC4,H,4,Wet,0.97,f,0.136
HTC4,H,4,Wet,1.226,f,0.258
LTC1,L,4,Wet,1.335,f,0.102
LTC1,L,4,Wet,1.783,f,0.372
HTC5,H,4,Wet,1.314,f,0.282
LTC2,L,4,Wet,1.601,f,0.566
LTC3,L,4,Wet,2.431,f,0.64
LTC3,L,4,Wet,1.321,f,0.256
HTC6,H,4,Wet,1.32,f,0.328
HTC6,H,4,Wet,1.442,f,0.372
HTC4,H,5,Wet,0.641,f,0.058
HTC4,H,5,Wet,0.941,f,0.1
LTC1,L,5,Wet,1.242,f,0.152
LTC1,L,5,Wet,0.846,f,0.024
HTC5,H,5,Wet,1.197,f,0.266
LTC2,L,5,Wet,1.124,f,0.222
LTC3,L,5,Wet,1.096,f,0.172
LTC3,L,5,Wet,1.238,f,0.232
LTC3,L,5,Wet,0.391,f,0.02
HTC6,H,5,Wet,0.725,f,0.042
HTC4,H,6,Wet,1.1,f,0.138
HTC4,H,6,Wet,0.854,f,0.136
LTC1,L,6,Wet,1.577,f,0.35
HTC5,H,6,Wet,1.122,f,0.14
HTC5,H,6,Wet,1.274,f,0.352
LTC2,L,6,Wet,1.21,f,0.356
LTC3,L,6,Wet,1.382,f,0.282
LTC3,L,6,Wet,0.743,f,0.052
HTC6,H,6,Wet,1.218,f,0.104
HTC4,H,4,ETOH,1.133,f,0.218
HTC4,H,4,ETOH,0.632,f,0.114
HTC4,H,4,ETOH,1.322,f,0.262
HTC4,H,4,ETOH,0.856,f,0.13
HTC4,H,4,ETOH,1.16,f,0.222
LTC1,L,4,ETOH,1.766,f,0.438
LTC1,L,4,ETOH,1.284,f,0.218
LTC1,L,4,ETOH,1.327,f,0.276
LTC1,L,4,ETOH,1.477,f,0.242
LTC1,L,4,ETOH,1.459,f,0.384
HTC5,H,4,ETOH,1.528,f,0.422
HTC5,H,4,ETOH,0.427,f,0.058
HTC5,H,4,ETOH,1.224,f,0.172
HTC5,H,4,ETOH,1.135,f,0.202
HTC5,H,4,ETOH,0.546,f,0.062
LTC2,L,4,ETOH,1.008,f,0.134
LTC2,L,4,ETOH,1.459,f,0.316
LTC2,L,4,ETOH,0.958,f,0.28
LTC2,L,4,ETOH,1.121,f,0.244
LTC2,L,4,ETOH,1.313,f,0.234
LTC3,L,4,ETOH,1.812,f,0.36
LTC3,L,4,ETOH,1.629,f,0.288
LTC3,L,4,ETOH,1.421,f,0.342
LTC3,L,4,ETOH,1.449,f,0.366
LTC3,L,4,ETOH,0.93,f,0.042
HTC6,H,4,ETOH,0.923,f,0.09
HTC6,H,4,ETOH,1.241,f,0.144
HTC6,H,4,ETOH,1.105,f,0.09
HTC6,H,4,ETOH,0.777,f,0.148
HTC6,H,4,ETOH,1.068,f,0.17
HTC4,H,5,ETOH,1.202,f,0.294
HTC4,H,5,ETOH,1.06,f,0.192
HTC4,H,5,ETOH,0.839,f,0.242
HTC4,H,5,ETOH,0.985,f,0.142
HTC4,H,5,ETOH,0.923,f,0.1
LTC1,L,5,ETOH,1.69,f,0.286
LTC1,L,5,ETOH,1.05,f,0.258
LTC1,L,5,ETOH,0.965,f,0.116
LTC1,L,5,ETOH,1.414,f,0.446
LTC1,L,5,ETOH,1.28,f,0.494
HTC5,H,5,ETOH,0.917,f,0.14
HTC5,H,5,ETOH,1.165,f,0.264
HTC5,H,5,ETOH,0.893,f,0.148
HTC5,H,5,ETOH,0.771,f,0.138
HTC5,H,5,ETOH,1.086,f,0.266
LTC2,L,5,ETOH,0.988,f,0.17
LTC2,L,5,ETOH,1.446,f,0.532
LTC2,L,5,ETOH,1.153,f,0.318
LTC2,L,5,ETOH,1.259,f,0.314
LTC2,L,5,ETOH,1.467,f,0.354
LTC3,L,5,ETOH,1.209,f,0.282
LTC3,L,5,ETOH,0.777,f,0.166
LTC3,L,5,ETOH,0.799,f,0.056
LTC3,L,5,ETOH,1.121,f,0.286
LTC3,L,5,ETOH,0.689,f,0.17
HTC6,H,5,ETOH,1.007,f,0.218
HTC6,H,5,ETOH,0.872,f,0.138
HTC6,H,5,ETOH,1.216,f,0.324
HTC6,H,5,ETOH,0.672,f,0.076
HTC6,H,5,ETOH,1.053,f,0.162
HTC4,H,6,ETOH,1.308,f,0.318
HTC4,H,6,ETOH,1.141,f,0.308
HTC4,H,6,ETOH,0.989,f,0.234
HTC4,H,6,ETOH,1.197,f,0.284
HTC4,H,6,ETOH,0.742,f,0.154
LTC1,L,6,ETOH,1.637,f,0.338
LTC1,L,6,ETOH,1.189,f,0.29
LTC1,L,6,ETOH,1.476,f,0.398
LTC1,L,6,ETOH,1.867,f,0.558
LTC1,L,6,ETOH,1.325,f,0.228
HTC5,H,6,ETOH,1.676,f,0.344
HTC5,H,6,ETOH,1.094,f,0.204
HTC5,H,6,ETOH,1.099,f,0.212
HTC5,H,6,ETOH,1.01,f,0.136
HTC5,H,6,ETOH,1.034,f,0.194
LTC2,L,6,ETOH,1.323,f,0.316
LTC2,L,6,ETOH,1.297,f,0.322
LTC2,L,6,ETOH,1.289,f,0.238
LTC2,L,6,ETOH,1.461,f,0.366
LTC2,L,6,ETOH,0.897,f,0.084
LTC3,L,6,ETOH,1.299,f,0.32
LTC3,L,6,ETOH,1.125,f,0.258
LTC3,L,6,ETOH,1.123,f,0.148
LTC3,L,6,ETOH,0.993,f,0.14
LTC3,L,6,ETOH,0.974,f,0.09
HTC6,H,6,ETOH,0.499,f,0.08
HTC6,H,6,ETOH,0.925,f,0.134
HTC6,H,6,ETOH,0.92,f,0.068
