Population,Temperature,Generation,Weight,Sex,Gonad weight
LTC2,L,1,0.291,f,0.01
HTC6,H,1,0.545,f,0.058
HTC4,H,1,1.174,f,0.214
HTC4,H,1,0.628,f,0.05
HTC4,H,1,0.544,f,0.03
LTC1,L,1,0.449,f,0.018
LTC1,L,1,0.372,f,0.022
LTC2,L,1,0.321,f,0.01
HTC6,H,1,0.629,f,0.068
HTC4,H,1,0.773,f,0.092
HTC5,H,1,0.581,f,0.092
HTC5,H,1,0.64,f,0.052
HTC5,H,1,0.705,f,0.15
LTC2,L,1,0.887,f,0.142
LTC3,L,2,0.52,f,0.016
HTC5,H,2,0.237,f,0.008
LTC2,L,2,0.475,f,0.004
LTC3,L,2,0.262,f,0.002
HTC6,H,2,0.425,f,0.014
HTC6,H,2,0.317,f,0.006
HTC4,H,2,0.451,f,0.05
HTC4,H,2,0.715,f,0.11
HTC5,H,2,0.34,f,0.022
HTC6,H,2,0.403,f,0.022
HTC6,H,2,0.599,f,0.098
HTC4,H,2,0.513,f,0.03
HTC4,H,2,0.614,f,0.042
HTC5,H,2,0.568,f,0.036
HTC5,H,2,0.485,f,0.044
HTC5,H,2,0.456,f,0.032
HTC5,H,2,0.469,f,0.054
LTC2,L,2,0.743,f,0.054
LTC3,L,2,0.598,f,0.056
HTC6,H,2,0.618,f,0.032
HTC6,H,2,0.712,f,0.106
LTC1,L,2,1.085,f,0.154
LTC1,L,2,0.494,f,0.012
LTC1,L,2,0.395,f,0.016
LTC1,L,2,0.26,f,0.01
HTC5,H,2,0.489,f,0.034
LTC2,L,2,0.475,f,0.024
LTC3,L,2,0.611,f,0.154
LTC3,L,2,0.784,f,0.1
LTC3,L,2,0.558,f,0.018
HTC6,H,2,0.775,f,0.08
HTC6,H,2,0.628,f,0.062
HTC6,H,2,0.493,f,0.078
HTC6,H,2,0.535,f,0.066
HTC6,H,2,0.345,f,0.012
HTC6,H,3,0.337,f,0.004
LTC1,L,3,0.226,f,0.002
HTC5,H,3,0.293,f,0.004
LTC2,L,3,0.404,f,0.022
LTC3,L,3,0.435,f,0.006
HTC4,H,3,0.388,f,0.024
HTC4,H,3,0.364,f,0.006
LTC1,L,3,0.552,f,0.014
LTC1,L,3,0.593,f,0.022
HTC5,H,3,0.531,f,0.022
HTC5,H,3,0.539,f,0.048
LTC3,L,3,0.517,f,0.032
HTC4,H,3,0.392,f,0.016
HTC4,H,3,0.327,f,0.002
LTC1,L,3,0.879,f,0.082
LTC1,L,3,0.399,f,0.008
HTC5,H,3,0.693,f,0.046
HTC5,H,3,0.579,f,0.05
HTC5,H,3,0.431,f,0.016
LTC2,L,3,0.669,f,0.042
LTC2,L,3,0.468,f,0.024
LTC2,L,3,0.395,f,0.02
LTC3,L,3,0.73,f,0.054
LTC3,L,3,0.59,f,0.036
HTC6,H,3,0.505,f,0.042
HTC4,H,3,0.509,f,0.018
HTC4,H,3,0.503,f,0.022
HTC4,H,3,0.511,f,0.056
HTC4,H,3,0.393,f,0.03
HTC5,H,3,1.024,f,0.186
HTC5,H,3,0.588,f,0.046
HTC5,H,3,0.51,f,0.092
LTC2,L,3,0.4,f,0.01
LTC3,L,3,0.453,f,0.012
LTC3,L,3,0.392,f,0.012
HTC6,H,3,0.389,f,0.048
LTC2,L,4,0.62,f,0.036
HTC4,H,4,0.458,f,0.048
HTC5,H,4,0.625,f,0.064
LTC3,L,4,0.62,f,0.058
HTC4,H,4,0.787,f,0.078
HTC4,H,4,0.528,f,0.076
HTC4,H,4,0.455,f,0.02
HTC4,H,4,0.291,f,0.016
HTC5,H,4,0.363,f,0.022
LTC2,L,4,0.913,f,0.112
LTC2,L,4,0.543,f,0.02
HTC4,H,4,0.622,f,0.048
HTC4,H,4,0.475,f,0.038
HTC4,H,4,0.262,f,0.018
LTC1,L,4,0.672,f,0.04
HTC5,H,4,0.606,f,0.058
LTC2,L,4,0.806,f,0.106
LTC2,L,4,0.393,f,0.024
LTC3,L,4,0.505,f,0.024
LTC3,L,4,0.509,f,0.052
HTC6,H,4,0.652,f,0.098
HTC4,H,4,0.939,f,0.206
HTC4,H,4,0.433,f,0.02
HTC4,H,4,0.362,f,0.022
HTC4,H,4,0.725,f,0.116
LTC1,L,4,0.751,f,0.098
HTC5,H,4,0.656,f,0.046
HTC5,H,4,0.504,f,0.072
HTC5,H,4,0.443,f,0.056
LTC2,L,4,0.722,f,0.096
LTC3,L,4,0.633,f,0.038
HTC6,H,4,0.876,f,0.096
HTC5,H,5,0.522,f,0.066
HTC6,H,5,0.794,f,0.046
HTC4,H,5,0.7,f,0.064
HTC4,H,5,0.598,f,0.05
LTC2,L,5,0.591,f,0.054
HTC4,H,5,0.832,f,0.112
HTC4,H,5,0.592,f,0.078
HTC5,H,5,0.508,f,0.04
HTC5,H,5,0.6,f,0.032
LTC2,L,5,0.958,f,0.154
LTC2,L,5,0.675,f,0.042
LTC3,L,5,0.918,f,0.116
HTC6,H,5,0.566,f,0.034
HTC4,H,5,0.722,f,0.034
HTC4,H,5,0.79,f,0.054
LTC1,L,5,0.51,f,0.014
LTC1,L,5,0.42,f,0.014
LTC1,L,5,0.387,f,0.022
LTC1,L,5,0.422,f,0.008
HTC5,H,5,1.178,f,0.186
LTC2,L,5,0.617,f,0.134
LTC3,L,5,0.93,f,0.196
LTC3,L,5,0.668,f,0.096
HTC6,H,5,1.018,f,0.082
HTC6,H,5,1.12,f,0.194
HTC6,H,5,0.563,f,0.054
HTC5,H,6,0.396,f,0.028
HTC4,H,6,0.764,f,0.094
HTC4,H,6,0.548,f,0.05
HTC5,H,6,0.604,f,0.034
HTC5,H,6,0.465,f,0.1
HTC6,H,6,0.44,f,0.026
HTC4,H,6,0.711,f,0.118
HTC4,H,6,0.839,f,0.134
HTC4,H,6,0.477,f,0.05
HTC5,H,6,0.69,f,0.078
LTC2,L,6,0.58,f,0.07
LTC2,L,6,0.415,f,0.02
LTC3,L,6,0.61,f,0.058
LTC3,L,6,0.459,f,0.02
HTC6,H,6,0.559,f,0.032
HTC6,H,6,0.661,f,0.058
HTC4,H,6,0.769,f,0.082
HTC4,H,6,0.61,f,0.046
HTC4,H,6,0.472,f,0.02
HTC4,H,6,0.451,f,0.048
LTC1,L,6,0.575,f,0.018
LTC1,L,6,0.578,f,0.04
LTC1,L,6,0.457,f,0.024
HTC5,H,6,0.662,f,0.08
LTC2,L,6,0.617,f,0.046
LTC3,L,6,0.583,f,0.036
HTC6,H,6,0.503,f,0.028
