Compa No.,Population,Temperature,Generation,Weight,Length,Stage
TANK1.1,HTC4,H,1,NA,25,Mature
TANK1.1,HTC4,H,1,NA,28,Mature
TANK1.1,HTC4,H,1,NA,29,Mature
TANK1.1,HTC4,H,1,NA,29,Mature
TANK1.1,HTC4,H,1,NA,29,Mature
TANK1.1,HTC4,H,1,NA,29,Mature
TANK1.1,HTC4,H,1,NA,30,Mature
TANK1.1,HTC4,H,1,NA,30,Mature
TANK1.1,HTC4,H,1,NA,30,Mature
TANK1.1,HTC4,H,1,NA,30,Mature
TANK1.1,HTC4,H,1,NA,30,Mature
TANK1.1,HTC4,H,1,NA,31,Mature
TANK1.1,HTC4,H,1,NA,31,Mature
TANK1.1,HTC4,H,1,NA,31,Mature
TANK1.1,HTC4,H,1,NA,31,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,32,Mature
TANK1.1,HTC4,H,1,NA,33,Mature
TANK1.1,HTC4,H,1,NA,33,Mature
TANK1.1,HTC4,H,1,NA,33,Mature
TANK1.1,HTC4,H,1,NA,33,Mature
TANK1.1,HTC4,H,1,NA,33,Mature
TANK1.1,HTC4,H,1,NA,33,Mature
TANK1.1,HTC4,H,1,NA,33,Mature
TANK1.1,HTC4,H,1,NA,33,Mature
TANK1.1,HTC4,H,1,NA,33,Mature
TANK1.1,HTC4,H,1,NA,33,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,34,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,35,Mature
TANK1.1,HTC4,H,1,NA,36,Mature
TANK1.1,HTC4,H,1,NA,36,Mature
