Compa No.,Population,Temperature,Generation,Weight,Length,Stage
TANK1.1,HTC4,H,1,0.091,22,Juv
TANK1.1,HTC4,H,1,0.284,29,Juv
TANK1.1,HTC4,H,1,0.186,25,Juv
TANK1.1,HTC4,H,1,0.228,25,Juv
TANK1.1,HTC4,H,1,0.095,22,Juv
TANK1.1,HTC4,H,1,0.555,33,Juv
TANK1.1,HTC4,H,1,0.12,24,Juv
TANK1.1,HTC4,H,1,0.577,31,Juv
TANK1.1,HTC4,H,1,0.199,25,Juv
TANK1.1,HTC4,H,1,0.122,23,Juv
TANK1.1,HTC4,H,1,0.153,25,Juv
TANK1.1,HTC4,H,1,0.26,30,Juv
TANK1.1,HTC4,H,1,0.106,22,Juv
TANK1.1,HTC4,H,1,0.223,26,Juv
TANK1.1,HTC4,H,1,0.556,34,Juv
TANK1.1,HTC4,H,1,0.167,26,Juv
TANK1.1,HTC4,H,1,0.281,28,Juv
TANK1.1,HTC4,H,1,0.487,34,Juv
TANK1.1,HTC4,H,1,0.343,25,Juv
TANK1.1,HTC4,H,1,0.086,21,Juv
TANK2.1,LTC1,L,1,0.462,35,Juv
TANK2.1,LTC1,L,1,0.111,24,Juv
TANK2.1,LTC1,L,1,0.054,17,Juv
TANK2.1,LTC1,L,1,0.344,32,Juv
TANK2.1,LTC1,L,1,0.025,17,Juv
TANK2.1,LTC1,L,1,0.047,18,Juv
TANK2.1,LTC1,L,1,NA,32,Juv
TANK2.1,LTC1,L,1,0.09,21,Juv
TANK2.1,LTC1,L,1,0.32,33,Juv
TANK2.1,LTC1,L,1,0.061,19,Juv
TANK2.1,LTC1,L,1,0.187,25,Juv
TANK2.1,LTC1,L,1,0.147,25,Juv
TANK2.1,LTC1,L,1,0.213,24,Juv
TANK2.1,LTC1,L,1,0.306,29,Juv
TANK2.1,LTC1,L,1,0.124,24,Juv
TANK2.1,LTC1,L,1,0.242,27,Juv
TANK2.1,LTC1,L,1,0.021,15,Juv
TANK2.1,LTC1,L,1,0.28,29,Juv
TANK2.1,LTC1,L,1,0.325,26,Juv
TANK2.1,LTC1,L,1,0.201,25,Juv
TANK3.2,HTC5,H,1,0.197,28,Juv
TANK3.2,HTC5,H,1,0.194,25,Juv
TANK3.2,HTC5,H,1,0.292,29,Juv
TANK3.2,HTC5,H,1,0.307,32,Juv
TANK3.2,HTC5,H,1,0.232,25,Juv
TANK3.2,HTC5,H,1,0.295,30,Juv
TANK3.2,HTC5,H,1,0.338,28,Juv
TANK3.2,HTC5,H,1,0.21,28,Juv
TANK3.2,HTC5,H,1,0.234,26,Juv
TANK3.2,HTC5,H,1,0.224,28,Juv
TANK3.2,HTC5,H,1,0.266,29,Juv
TANK3.2,HTC5,H,1,0.185,27,Juv
TANK3.2,HTC5,H,1,0.366,32,Juv
TANK3.2,HTC5,H,1,0.471,35,Juv
TANK3.2,HTC5,H,1,0.17,25,Juv
TANK3.2,HTC5,H,1,0.07,20,Juv
TANK3.2,HTC5,H,1,0.161,26,Juv
TANK3.2,HTC5,H,1,0.127,26,Juv
TANK3.2,HTC5,H,1,0.342,29,Juv
TANK3.2,HTC5,H,1,0.096,21,Juv
TANK5.1,LTC3,L,1,0.158,26,Juv
TANK5.1,LTC3,L,1,NA,13,Juv
TANK5.1,LTC3,L,1,0.558,34,Juv
TANK5.1,LTC3,L,1,0.092,22,Juv
TANK5.1,LTC3,L,1,0.162,24,Juv
TANK5.1,LTC3,L,1,0.12,21,Juv
TANK5.1,LTC3,L,1,0.07,21,Juv
TANK5.1,LTC3,L,1,0.505,32,Juv
TANK5.1,LTC3,L,1,0.111,21,Juv
TANK5.1,LTC3,L,1,0.074,21,Juv
TANK5.1,LTC3,L,1,0.23,30,Juv
TANK5.1,LTC3,L,1,0.126,25,Juv
TANK5.1,LTC3,L,1,0.227,27,Juv
TANK5.1,LTC3,L,1,0.07,19,Juv
TANK5.1,LTC3,L,1,0.165,22,Juv
TANK5.1,LTC3,L,1,0.083,20,Juv
TANK5.1,LTC3,L,1,0.088,20,Juv
TANK5.1,LTC3,L,1,0.128,24,Juv
TANK5.1,LTC3,L,1,0.087,20,Juv
TANK5.1,LTC3,L,1,0.113,20,Juv
TANK1.1,HTC4,H,2,0.338,31,Juv
TANK1.1,HTC4,H,2,0.302,30,Juv
TANK1.1,HTC4,H,2,0.538,37,Juv
TANK1.1,HTC4,H,2,0.43,35,Juv
TANK1.1,HTC4,H,2,0.402,35,Juv
TANK1.1,HTC4,H,2,0.393,35,Juv
TANK1.1,HTC4,H,2,0.396,34,Juv
TANK1.1,HTC4,H,2,0.436,34,Juv
TANK1.1,HTC4,H,2,0.331,33,Juv
TANK1.1,HTC4,H,2,0.288,30,Juv
TANK1.1,HTC4,H,2,0.334,29,Juv
TANK1.1,HTC4,H,2,0.376,33,Juv
TANK1.1,HTC4,H,2,0.479,35,Juv
TANK1.1,HTC4,H,2,0.544,36,Juv
TANK1.1,HTC4,H,2,0.409,34,Juv
TANK1.1,HTC4,H,2,0.193,28,Juv
TANK1.1,HTC4,H,2,0.848,39,Juv
TANK1.1,HTC4,H,2,0.126,30,Juv
TANK1.1,HTC4,H,2,0.324,32,Juv
TANK1.1,HTC4,H,2,0.507,37,Juv
TANK2.1,LTC1,L,2,0.315,32,Juv
TANK2.1,LTC1,L,2,0.331,31,Juv
TANK2.1,LTC1,L,2,0.146,26,Juv
TANK2.1,LTC1,L,2,0.581,37,Juv
TANK2.1,LTC1,L,2,0.237,29,Juv
TANK2.1,LTC1,L,2,0.24,30,Juv
TANK2.1,LTC1,L,2,0.175,27,Juv
TANK2.1,LTC1,L,2,0.45,32,Juv
