Generation,Population,Temperature,Compa.No.,nObs,Intercept,Slope,InterceptbootCI1,InterceptbootCI2,slopetbootCI1,slopetbootCI2,W50,W50CI1,W50CI2,W95,W95CI1,W95CI2
2,HTC4,H,TANK1.1,25,-1.995812716,7.933000908,-233.8320402,0.035609855,1.99695319,1222.691739,0.251583573,0.017005256,0.388272608,0.622746896,0.199809895,1.439927994
2,HTC5,H,TANK3.2,25,-5.196396123,18.25147536,-474.3979463,-3.391560167,11.55596717,2089.647858,0.284711018,0.206486096,0.417462914,0.446037098,0.210723826,0.586833032
2,HTC6,H,TANK6.3,25,-1.995513591,9.854700111,-11.95414837,0.351947998,3.278591309,55.19000904,0.202493589,-0.080676013,0.31160972,0.501278833,0.226443007,0.854603264
2,LTC1,L,TANK2.1,25,-3.989651194,13.09074607,-174.6926957,-2.620223482,7.966894837,712.3041592,0.304768817,0.226311478,0.41333999,0.52969404,0.239596469,0.745688628
2,LTC2,L,TANK4.2,25,-6.193492631,23.2636259,-331.5884683,-3.561615739,13.77415639,1456.220454,0.266230753,0.22096321,0.329056802,0.392799113,0.228982656,0.498810977
2,LTC3,L,TANK5.1,25,-9.021722984,27.51597854,-501.2701649,-5.219529999,16.88262334,1442.162374,0.327872148,0.251987225,0.372470672,0.43488048,0.320442009,0.509530322
3,HTC4,H,TANK1.1,25,-221.9446781,942.1848285,-232.8717094,-68.68440549,345.7708596,988.1515654,0.235563842,0.194808367,0.252110362,0.23868896,0.203294844,0.257367646
3,HTC5,H,TANK3.2,25,-6.465629691,31.35224667,-589.2151506,-3.880648167,19.33105485,3211.06217,0.206225403,0.152459127,0.260018103,0.300140171,0.153449911,0.374275271
3,HTC6,H,TANK6.3,25,-6.059522946,24.99329879,-620.3993876,-3.728964782,15.39583523,3284.221034,0.242445905,0.174463412,0.303331593,0.360255043,0.177487535,0.460736631
3,LTC1,L,TANK2.1,25,-6.799460665,22.91177766,-1357.952696,-4.639633294,15.44320295,6090.984012,0.29676705,0.21061106,0.395998385,0.425279077,0.212873439,0.515269955
3,LTC2,L,TANK4.2,25,-13.84544375,84.15587648,-989.4747979,-7.5111006,44.73044245,6033.745531,0.164521413,0.145112289,0.190580179,0.199509332,0.14686866,0.241678924
3,LTC3,L,TANK5.1,25,-5.481708496,16.03239671,-2249.123323,-3.131195437,9.77136737,5003.360777,0.341914475,0.235592227,0.447503477,0.525570046,0.349400425,0.662385874
4,HTC4,H,TANK1.1,30,-5.965432243,22.41203554,-775.7767666,-4.096172921,15.10370124,3008.532553,0.266170926,0.216415581,0.340508149,0.397548505,0.220150012,0.493094524
4,HTC5,H,TANK3.2,30,-3.419046015,13.76204964,-345.2723794,-2.149534417,8.558925896,1831.325094,0.248440175,0.18200429,0.338354073,0.462393696,0.189166085,0.634832792
4,HTC6,H,TANK6.3,30,-4.040602249,14.42447527,-347.7508278,-2.284379888,6.976071277,1223.154299,0.280121264,0.213967799,0.392081483,0.484249243,0.214527632,0.785996603
4,LTC1,L,TANK2.1,30,-7.707685937,17.96292705,-14737.91158,-5.047885906,11.78381816,32004.41418,0.429088529,0.348598489,0.498580307,0.593006078,0.440027669,0.708009652
4,LTC2,L,TANK4.2,30,-7.819998806,26.29018716,-2661.485485,-4.925352558,16.56317357,8613.278314,0.29744934,0.215416748,0.349186429,0.409446982,0.217896563,0.496435548
4,LTC3,L,TANK5.1,30,-5.486319852,17.14384884,-495.0495261,-3.37115495,11.37124426,1428.085165,0.320016812,0.24465301,0.379487424,0.491765817,0.355676224,0.589077712
5,HTC4,H,TANK1.1,25,-194.4110693,749.1709885,-204.516871,-61.96828276,222.3317321,788.068762,0.259501599,0.23033451,0.311846504,0.263431862,0.238033224,0.322317507
5,HTC5,H,TANK3.2,25,-3.974763606,14.58767948,-181.9377321,-1.158501096,6.768550446,626.8973752,0.272474016,0.148026757,0.348605792,0.474318249,0.294822091,0.656174003
5,HTC6,H,TANK6.3,25,-4.199894146,9.321507462,-21.63214655,-1.643535307,4.213216889,48.16617303,0.450559543,0.314169883,0.565098818,0.766435381,0.494746337,1.136938844
5,LTC1,L,TANK2.1,25,-10.54688839,26.40611921,-6748.043196,-6.232875714,14.38137073,17482.54927,0.39941077,0.349997898,0.489325643,0.510916703,0.355521217,0.662569769
5,LTC2,L,TANK4.2,25,-5.352842691,18.67859398,-397.1244225,-2.705124414,9.979020983,1299.979504,0.286576318,0.217050339,0.360023923,0.444213396,0.250054653,0.600127478
5,LTC3,L,TANK5.1,25,-13.35706726,31.80685211,-1618.893581,-8.086146479,18.56251691,3396.744927,0.419943074,0.371933812,0.486156387,0.512515548,0.377169241,0.61402224
6,HTC4,H,TANK1.1,25,-4.659092918,20.15152364,-373.6753672,-1.274957751,8.958745974,1401.877601,0.23120301,0.123095012,0.292316454,0.377317965,0.255259655,0.506388208
6,HTC5,H,TANK3.2,25,-2.899747216,10.68588394,-481.2773525,-0.114740332,4.100992582,1693.795001,0.27136241,0.031960394,0.378137758,0.546907137,0.285814898,0.825020657
6,HTC6,H,TANK6.3,25,-5.391368076,21.32484425,-4224.028077,-1.968980059,9.946883051,16964.63569,0.252820983,0.180453891,0.317162995,0.390896504,0.222724481,0.525960247
6,LTC1,L,TANK2.1,25,-5.986804213,19.49557418,-5964.121569,-3.315905133,11.54648499,17593.26799,0.307085298,0.238940253,0.357365566,0.458116448,0.335985,0.575431475
6,LTC2,L,TANK4.2,25,-8.473271442,20.8546309,-1330.0731,-5.684152577,13.95865619,3107.710549,0.406301674,0.34480781,0.46854888,0.54749041,0.388328567,0.642581265
6,LTC3,L,TANK5.1,25,-5.74096991,19.96960404,-903.1255418,-3.824471392,12.95337131,3440.052417,0.287485415,0.208003781,0.361429103,0.434931452,0.208181856,0.549752577
1,HTC4,H,TANK1.1,20,-4.372325871,14.95210433,-458.6330181,-2.539077411,8.05070702,1869.001563,0.292422108,0.217555669,0.42798852,0.48934683,0.223470261,0.734911653
1,HTC5,H,TANK3.2,20,-544.8473538,1908.252201,-574.660311,-67.56727687,165.6031941,2012.923752,0.285521669,0.252353074,0.417652967,0.287064672,0.258083414,0.435459399
1,HTC6,H,TANK6.3,20,-344.8318339,2155.801323,-365.6838284,-43.88033844,219.5125985,2285.187167,0.159955294,0.123979743,0.237108219,0.161321115,0.130156409,0.248279801
1,LTC1,L,TANK2.1,20,-147.3586622,456.3704474,-153.8987412,-72.56305495,225.3438828,476.7047172,0.322892648,0.288482238,0.35961441,0.32934451,0.299135348,0.370627559
1,LTC2,L,TANK4.2,20,-6.036112387,23.85917937,-265.3853129,-3.195676836,12.72373542,1146.688863,0.252989103,0.182491115,0.32062987,0.376398166,0.185205969,0.508401388
1,LTC3,L,TANK5.1,20,-11.09013538,46.49426796,-234.239537,-6.66705014,26.29103758,1080.384749,0.238526938,0.206938627,0.288905321,0.301856013,0.211202292,0.379873601
